2026-01-02,1002,A01012,S1004S01-AP,2028-07-08,1500,2026-01-02 01:00:03.143
2026-01-02,1002,A01013,PYS50-SETAR,2027-12-31,450,2026-01-02 01:00:03.143
2026-01-02,1002,A01014,HLSS01-CH,2028-11-17,1600,2026-01-02 01:00:03.143
2026-01-02,1002,A01022,JSMS01-I,2028-08-22,7680,2026-01-02 01:00:03.143
2026-01-02,1002,A01023,TKBC04-OCR,2027-08-01,1680,2026-01-02 01:00:03.143
2026-01-02,1002,A01024,HRC04-OG,2028-05-27,1008,2026-01-02 01:00:03.143
2026-01-02,1002,A01032,TKBC04-OCR,2027-08-01,1680,2026-01-02 01:00:03.143
2026-01-02,1002,A01033,NLS06-TP,2028-05-26,1200,2026-01-02 01:00:03.143
2026-01-02,1002,A01034,S1004SM01-HE100,2028-08-17,2400,2026-01-02 01:00:03.143
2026-01-02,1002,A01042,S1004C01-AF,2028-09-14,2240,2026-01-02 01:00:03.143
2026-01-02,1002,A01043,S1004S01-CH30,2028-09-30,5000,2026-01-02 01:00:03.143
2026-01-02,1002,A01044,S1004SM01-HE2ea,2028-06-23,1512,2026-01-02 01:00:03.143
2026-01-02,1002,A01052,TKBC04-F,2028-11-11,1800,2026-01-02 01:00:03.143
2026-01-02,1002,A01053,HLSS04-CS,2028-12-04,1400,2026-01-02 01:00:03.143
2026-01-02,1002,A01054,S1004C01-OC,2028-08-24,1040,2026-01-02 01:00:03.143
2026-01-02,1002,A01062,NP63-RoyalJellyeu,2028-07-31,23040,2026-01-02 01:00:03.143
2026-01-02,1002,A01063,LP49-LMb,2028-06-15,1894,2026-01-02 01:00:03.143
2026-01-02,1002,A01072,JSMC02-FG,2028-10-09,480,2026-01-02 01:00:03.143
2026-01-02,1002,A01073,HMC01-NewBalmM,2028-11-05,2320,2026-01-02 01:00:03.143
2026-01-02,1002,A01074,secretKS03-spotgelR,2028-09-29,2400,2026-01-02 01:00:03.143
2026-01-02,1002,A01082,AbibS11-Spadr,2028-04-29,1390,2026-01-02 01:00:03.143
2026-01-02,1002,A01083,NBS01-ESS09,2028-11-05,3840,2026-01-02 01:00:03.143
2026-01-02,1002,A01084,NLS05-C,2028-09-24,1240,2026-01-02 01:00:03.143
2026-01-02,1002,A01092,HRC04-gel,2028-11-19,2240,2026-01-02 01:00:03.143
2026-01-02,1002,A01093,PYS50-SETAR,2027-12-31,793,2026-01-02 01:00:03.143
2026-01-02,1002,A01102,JSMS01-TG,2028-09-01,1000,2026-01-02 01:00:03.143
2026-01-02,1002,A01103,TKBC04-FOC,2027-07-15,640,2026-01-02 01:00:03.143
2026-01-02,1002,A01104,NBS05-C1P,2028-10-27,2520,2026-01-02 01:00:03.143
2026-01-02,1002,A01112,S1004S01-AC,2028-06-30,1400,2026-01-02 01:00:03.143
2026-01-02,1002,A01113,S1004SM01-HE2ea,2028-07-09,1000,2026-01-02 01:00:03.143
2026-01-02,1002,A01114,IUS07-C,2028-11-20,1800,2026-01-02 01:00:03.143
2026-01-02,1002,A01123,ALSC01-Fgr,2028-09-18,1800,2026-01-02 01:00:03.143
2026-01-02,1002,A01124,HMC01-NewBalmR,2028-11-11,1920,2026-01-02 01:00:03.143
2026-01-02,1002,A01132,TKBSM05-SC,2028-03-31,5400,2026-01-02 01:00:03.143
2026-01-02,1002,A01134,IUS07-C,2028-11-20,480,2026-01-02 01:00:03.143
2026-01-02,1002,A01142,EREM03-STM,2028-11-04,5760,2026-01-02 01:00:03.143
2026-01-02,1002,A01143,MBM115-25(50ml),2028-02-20,1100,2026-01-02 01:00:03.143
2026-01-02,1002,A01144,TKBSM05-CStick,2028-11-13,8000,2026-01-02 01:00:03.143
2026-01-02,1002,A01152,JSMC02-OCRR,2028-10-15,1584,2026-01-02 01:00:03.143
2026-01-02,1002,A01153,TKBS12-IG,2028-09-30,2800,2026-01-02 01:00:03.143
2026-01-02,1002,A01154,IUS04-C,2028-04-03,2160,2026-01-02 01:00:03.143
2026-01-02,1002,A01162,S1004P01-MC,2028-09-24,10000,2026-01-02 01:00:03.143
2026-01-02,1002,A01163,RLC12-F,2028-09-09,1800,2026-01-02 01:00:03.143
2026-01-02,1002,A01164,JSMS01-Sg,2028-07-31,2100,2026-01-02 01:00:03.143
2026-01-02,1002,A02012,IUS04-BC,2028-12-04,1728,2026-01-02 01:00:03.143
2026-01-02,1002,A02013,S1004SM01-HE2ea,2028-07-01,1512,2026-01-02 01:00:03.143
2026-01-02,1002,A02014,S1004S01-CCS,2028-09-18,2240,2026-01-02 01:00:03.143
2026-01-02,1002,A02021,TKBSM05-SC,2028-03-31,4600,2026-01-02 01:00:03.143
2026-01-02,1002,A02023,ALSC01-Fgr,2028-09-17,1800,2026-01-02 01:00:03.143
2026-01-02,1002,A02024,HAHC02-OC,2027-09-05,992,2026-01-02 01:00:03.143
2026-01-02,1002,A02031,S1004S01-AC,2028-07-02,1400,2026-01-02 01:00:03.143
2026-01-02,1002,A02032,RLC04-FR,2028-09-21,1890,2026-01-02 01:00:03.143
2026-01-02,1002,A02033,HMC01-NewBalmM,2028-10-28,1469,2026-01-02 01:00:03.143
2026-01-02,1002,A02034,CMXS09-VS,2028-04-15,3840,2026-01-02 01:00:03.143
2026-01-02,1002,A02041,RLC04-FR,2028-09-21,2160,2026-01-02 01:00:03.143
2026-01-02,1002,A02042,JSMP01-M10,2028-04-13,1120,2026-01-02 01:00:03.143
2026-01-02,1002,A02043,S1004S01-SET,2028-08-21,1600,2026-01-02 01:00:03.143
2026-01-02,1002,A02044,HMBM21-BB21R,2028-11-19,3200,2026-01-02 01:00:03.143
2026-01-02,1002,A02051,NBS02-PATCH9,2027-12-03,1840,2026-01-02 01:00:03.143
2026-01-02,1002,A02052,JSMS09-PATCH,2028-09-09,1536,2026-01-02 01:00:03.143
2026-01-02,1002,A02054,SESALOHS17-RR,2028-09-23,660,2026-01-02 01:00:03.143
2026-01-02,1002,A02061,PRS04-CREU,2028-08-21,1944,2026-01-02 01:00:03.143
2026-01-02,1002,A02062,AbibC11-Fr,2028-12-01,1440,2026-01-02 01:00:03.143
2026-01-02,1002,A02063,NLS06-A,2028-10-26,1600,2026-01-02 01:00:03.143
2026-01-02,1002,A02064,NBS01-ESS09,2028-11-12,3840,2026-01-02 01:00:03.143
2026-01-02,1002,A02071,JSMSM03-SR,2028-07-10,3840,2026-01-02 01:00:03.143
2026-01-02,1002,A02072,TKBC04-OCR,2027-07-31,1680,2026-01-02 01:00:03.143
2026-01-02,1002,A02073,APLBBS1-BL,2028-09-25,1792,2026-01-02 01:00:03.143
2026-01-02,1002,A02074,HLSS01-NA10,2028-10-30,2000,2026-01-02 01:00:03.143
2026-01-02,1002,A02081,NBSM06-HE1,2029-03-29,3780,2026-01-02 01:00:03.143
